School,City,State,Conference,Division
Abilene Christian University,Abilene,Texas,Southland Conference[a],I
University of Akron,Akron,Ohio,Mid-American Conference,I
University of Alabama,Tuscaloosa,Alabama,Southeastern Conference,I
Alabama Agricultural and Mechanical University,Huntsville,Alabama,Southwestern Athletic Conference,I
University of Alabama at Birmingham,Birmingham,Alabama,Conference USA,I
Alabama State University,Montgomery,Alabama,Southwestern Athletic Conference,I
"University at Albany, SUNY",Albany,New York,America East Conference,I
Alcorn State University,Lorman,Mississippi,Southwestern Athletic Conference,I
American University,Washington,District of Columbia,Patriot League,I
Appalachian State University,Boone,North Carolina,Sun Belt Conference,I
University of Arizona,Tucson,Arizona,Pac-12 Conference,I
Arizona State University,Tempe,Arizona,Pac-12 Conference,I
University of Arkansas,Fayetteville,Arkansas,Southeastern Conference,I
University of Arkansas at Little Rock,Little Rock,Arkansas,Sun Belt Conference,I
University of Arkansas at Pine Bluff,Pine Bluff,Arkansas,Southwestern Athletic Conference,I
Arkansas State University,Jonesboro,Arkansas,Sun Belt Conference,I
Auburn University,Auburn,Alabama,Southeastern Conference,I
Austin Peay State University,Clarksville,Tennessee,Ohio Valley Conference,I
Ball State University,Muncie,Indiana,Mid-American Conference,I
Baylor University,Waco,Texas,Big 12 Conference,I
Belmont University,Nashville,Tennessee,Ohio Valley Conference,I
Bethune-Cookman University,Daytona Beach,Florida,Mid-Eastern Athletic Conference,I
Binghamton University,Vestal,New York,America East Conference,I
Boise State University,Boise,Idaho,Mountain West Conference,I
Boston College,Chestnut Hill,Massachusetts,Atlantic Coast Conference,I
Boston University,Boston,Massachusetts,Patriot League,I
Bowling Green State University,Bowling Green,Ohio,Mid-American Conference,I
Bradley University,Peoria,Illinois,Missouri Valley Conference,I
Brigham Young University,Provo,Utah,West Coast Conference,I
Brown University,Providence,Rhode Island,Ivy League,I
Bryant University,Smithfield,Rhode Island,Northeast Conference,I
Bucknell University,Lewisburg,Pennsylvania,Patriot League,I
University at Buffalo,Buffalo,New York,Mid-American Conference,I
Butler University,Indianapolis,Indiana,Big East Conference[b],I
"University of California, Berkeley",Berkeley,California,Pac-12 Conference,I
"University of California, Davis",Davis,California,Big West Conference[c],I
"University of California, Irvine",Irvine,California,Big West Conference,I
"University of California, Los Angeles",Los Angeles,California,Pac-12 Conference,I
California Polytechnic State University,San Luis Obispo,California,Big West Conference[c],I
"University of California, Riverside",Riverside,California,Big West Conference,I
"University of California, Santa Barbara",Santa Barbara,California,Big West Conference,I
"California State University, Bakersfield",Bakersfield,California,Big West Conference,I
"California State University, Fresno",Fresno,California,Mountain West Conference,I
"California State University, Fullerton",Fullerton,California,Big West Conference,I
"California State University, Long Beach",Long Beach,California,Big West Conference,I
"California State University, Northridge",Northridge,California,Big West Conference,I
"California State University, Sacramento",Sacramento,California,Big Sky Conference,I
Campbell University,Buies Creek,North Carolina,Big South Conference,I
Canisius College,Buffalo,New York,Metro Atlantic Athletic Conference,I
University of Central Arkansas,Conway,Arkansas,Southland Conference,I
Central Connecticut State University,New Britain,Connecticut,Northeast Conference,I
University of Central Florida,Orlando,Florida,American Athletic Conference,I
Central Michigan University,Mount Pleasant,Michigan,Mid-American Conference,I
College of Charleston,Charleston,South Carolina,Colonial Athletic Association,I
Charleston Southern University,North Charleston,South Carolina,Big South Conference,I
Chicago State University,Chicago,Illinois,Western Athletic Conference[d],I
University of Cincinnati,Cincinnati,Ohio,American Athletic Conference,I
The Citadel,Charleston,South Carolina,Southern Conference,I
Clemson University,Clemson,South Carolina,Atlantic Coast Conference,I
Cleveland State University,Cleveland,Ohio,Horizon League,I
Coastal Carolina University,Conway,South Carolina,Sun Belt Conference,I
Colgate University,Hamilton,New York,Patriot League,I
University of Colorado Boulder,Boulder,Colorado,Pac-12 Conference,I
Colorado State University,Fort Collins,Colorado,Mountain West Conference,I
Columbia University,Manhattan,New York,Ivy League,I
University of Connecticut,Storrs,Connecticut,Big East Conference,I
Coppin State University,Baltimore,Maryland,Mid-Eastern Athletic Conference,I
Cornell University,Ithaca,New York,Ivy League,I
Creighton University,Omaha,Nebraska,Big East Conference,I
Dartmouth College,Hanover,New Hampshire,Ivy League,I
Davidson College,Davidson,North Carolina,Atlantic 10 Conference[b],I
University of Dayton,Dayton,Ohio,Atlantic 10 Conference[b],I
University of Delaware,Newark,Delaware,Colonial Athletic Association,I
Delaware State University,Dover,Delaware,Mid-Eastern Athletic Conference,I
University of Denver,Denver,Colorado,The Summit League,I
DePaul University,Chicago,Illinois,Big East Conference,I
University of Detroit Mercy,Detroit,Michigan,Horizon League,I
Drake University,Des Moines,Iowa,Missouri Valley Conference[b],I
Drexel University,Philadelphia,Pennsylvania,Colonial Athletic Association,I
Duke University,Durham,North Carolina,Atlantic Coast Conference,I
Duquesne University,Pittsburgh,Pennsylvania,Atlantic 10 Conference[e],I
East Carolina University,Greenville,North Carolina,American Athletic Conference,I
East Tennessee State University,Johnson City,Tennessee,Southern Conference,I
Eastern Illinois University,Charleston,Illinois,Ohio Valley Conference,I
Eastern Kentucky University,Richmond,Kentucky,Ohio Valley Conference,I
Eastern Michigan University,Ypsilanti,Michigan,Mid-American Conference,I
Eastern Washington University,Cheney,Washington,Big Sky Conference,I
Elon University,Elon,North Carolina,Colonial Athletic Association,I
University of Evansville,Evansville,Indiana,Missouri Valley Conference,I
Fairfield University,Fairfield,Connecticut,Metro Atlantic Athletic Conference,I
